Major_Type	tec	sampleID	Total_count
SV	LRS	GTOP-CI231	21359
SV	LRS	GTOP-CI251	20938
SV	LRS	GTOP-CI291	21144
SV	LRS	GTOP-CI301	20409
SV	LRS	GTOP-CJ091	21042
SV	LRS	GTOP-CJ092	20900
SV	LRS	GTOP-CJ093	20737
SV	LRS	GTOP-CJ111	20775
SV	LRS	GTOP-CJ151	21595
SV	LRS	GTOP-CJ231	20925
SV	LRS	GTOP-CK031	21799
SV	LRS	GTOP-CL111	21281
SV	LRS	GTOP-CL141	21594
SV	LRS	GTOP-CL161	21004
SV	LRS	GTOP-CL171	20317
SV	SRS	GTOP-AJ141	9758
SV	SRS	GTOP-AJ142	8081
SV	SRS	GTOP-AJ211	8273
SV	SRS	GTOP-AJ221	8120
SV	SRS	GTOP-AJ231	7045
SV	SRS	GTOP-AK091	7816
SV	SRS	GTOP-AK092	8154
SV	SRS	GTOP-AK111	9484
SV	SRS	GTOP-AK112	6885
SV	SRS	GTOP-AK221	11056
SV	SRS	GTOP-AK231	7498
SV	SRS	GTOP-AK281	7755
SV	SRS	GTOP-AL091	10456
SV	SRS	GTOP-AL121	7609
SV	SRS	GTOP-AL271	6904
SV	SRS	GTOP-BA041	7987
SV	SRS	GTOP-BA081	6960
SV	SRS	GTOP-BA082	6789
SV	SRS	GTOP-BA091	6982
SV	SRS	GTOP-BA101	7990
SV	SRS	GTOP-BA102	6837
SV	SRS	GTOP-BA131	7012
SV	SRS	GTOP-BA132	7459
SV	SRS	GTOP-BA181	7118
SV	SRS	GTOP-BA191	7183
SV	SRS	GTOP-BA211	6720
SV	SRS	GTOP-BA231	8379
SV	SRS	GTOP-BA232	7308
SV	SRS	GTOP-BA251	7292
SV	SRS	GTOP-BB011	7442
SV	SRS	GTOP-BB201	7164
SV	SRS	GTOP-BB202	7825
SV	SRS	GTOP-BB211	7803
SV	SRS	GTOP-BB251	7765
SV	SRS	GTOP-BB261	7904
SV	SRS	GTOP-BC041	7278
SV	SRS	GTOP-BC061	4213
SV	SRS	GTOP-BC161	6891
SV	SRS	GTOP-BC171	6837
SV	SRS	GTOP-BC181	7303
SV	SRS	GTOP-BC191	6967
SV	SRS	GTOP-BD011	6931
SV	SRS	GTOP-BD201	7020
SV	SRS	GTOP-BE141	7775
SV	SRS	GTOP-BE161	6733
SV	SRS	GTOP-BE181	8767
SV	SRS	GTOP-BE221	6964
SV	SRS	GTOP-BF221	6711
SV	SRS	GTOP-BF251	7025
SV	SRS	GTOP-BF271	6868
SV	SRS	GTOP-BG091	7218
SV	SRS	GTOP-BG171	6950
SV	SRS	GTOP-BG291	6807
SV	SRS	GTOP-BG311	6896
SV	SRS	GTOP-BH071	6831
SV	SRS	GTOP-BH101	7234
SV	SRS	GTOP-BH131	6703
SV	SRS	GTOP-BH171	4230
SV	SRS	GTOP-BH271	6361
SV	SRS	GTOP-BI071	7383
SV	SRS	GTOP-BI281	11147
SV	SRS	GTOP-BJ111	7577
SV	SRS	GTOP-BJ131	7575
SV	SRS	GTOP-BJ141	7595
SV	SRS	GTOP-BJ171	7483
SV	SRS	GTOP-BJ191	7303
SV	SRS	GTOP-BJ201	5452
SV	SRS	GTOP-BK021	7175
SV	SRS	GTOP-BK071	6752
SV	SRS	GTOP-BK161	12322
SV	SRS	GTOP-BK191	9218
SV	SRS	GTOP-BK251	5532
SV	SRS	GTOP-BK261	9109
SV	SRS	GTOP-BK281	8166
SV	SRS	GTOP-BL021	9591
SV	SRS	GTOP-BL091	7528
SV	SRS	GTOP-BL151	7891
SV	SRS	GTOP-BL161	9333
SV	SRS	GTOP-BL221	7954
SV	SRS	GTOP-BL261	7179
SV	SRS	GTOP-BL271	7839
SV	SRS	GTOP-CA031	4325
SV	SRS	GTOP-CA081	3578
SV	SRS	GTOP-CA121	5728
SV	SRS	GTOP-CA161	6524
SV	SRS	GTOP-CA171	6737
SV	SRS	GTOP-CA181	5178
SV	SRS	GTOP-CA231	7056
SV	SRS	GTOP-CA241	7410
SV	SRS	GTOP-CB051	7817
SV	SRS	GTOP-CB052	7043
SV	SRS	GTOP-CB121	7942
SV	SRS	GTOP-CB151	7531
SV	SRS	GTOP-CB161	7759
SV	SRS	GTOP-CB261	6923
SV	SRS	GTOP-CB271	7126
SV	SRS	GTOP-CB281	7471
SV	SRS	GTOP-CC031	7596
SV	SRS	GTOP-CC041	7698
SV	SRS	GTOP-CC061	7247
SV	SRS	GTOP-CC121	7785
SV	SRS	GTOP-CC131	7612
SV	SRS	GTOP-CC141	7375
SV	SRS	GTOP-CC201	7617
SV	SRS	GTOP-CC231	6131
SV	SRS	GTOP-CC241	7275
SV	SRS	GTOP-CC251	7548
SV	SRS	GTOP-CC291	7656
SV	SRS	GTOP-CC311	7420
SV	SRS	GTOP-CD021	7252
SV	SRS	GTOP-CD121	7205
SV	SRS	GTOP-CE111	7744
SV	SRS	GTOP-CE131	7490
SV	SRS	GTOP-CE141	7260
SV	SRS	GTOP-CE161	7675
SV	SRS	GTOP-CF011	7477
SV	SRS	GTOP-CF051	7686
SV	SRS	GTOP-CF121	7463
SV	SRS	GTOP-CF201	7814
SV	SRS	GTOP-CF221	7473
SV	SRS	GTOP-CF241	7392
SV	SRS	GTOP-CF242	7859
SV	SRS	GTOP-CF301	7560
SV	SRS	GTOP-CG041	7895
SV	SRS	GTOP-CG061	7296
SV	SRS	GTOP-CG071	7590
SV	SRS	GTOP-CG091	7462
SV	SRS	GTOP-CG111	7720
SV	SRS	GTOP-CG171	7544
SV	SRS	GTOP-CG172	7770
SV	SRS	GTOP-CG191	7526
SV	SRS	GTOP-CG211	7688
SV	SRS	GTOP-CG261	8618
SV	SRS	GTOP-CG271	7381
SV	SRS	GTOP-CH041	7818
SV	SRS	GTOP-CH081	7746
SV	SRS	GTOP-CH082	7839
SV	SRS	GTOP-CH091	8056
SV	SRS	GTOP-CH101	7770
SV	SRS	GTOP-CH102	5640
SV	SRS	GTOP-CI161	7929
SV	SRS	GTOP-CI201	7268
SV	SRS	GTOP-CI211	7011
SV	SRS	GTOP-CI221	6940
SV	SRS	GTOP-CI222	7289
SV	SRS	GTOP-CI231	8245
SV	SRS	GTOP-CI251	8029
SV	SRS	GTOP-CI291	8360
SV	SRS	GTOP-CI301	7089
SV	SRS	GTOP-CJ091	6700
SV	SRS	GTOP-CJ092	6588
SV	SRS	GTOP-CJ093	6981
SV	SRS	GTOP-CJ111	6300
SV	SRS	GTOP-CJ151	7795
SV	SRS	GTOP-CJ231	5242
SV	SRS	GTOP-CK031	8122
SV	SRS	GTOP-CL111	6816
SV	SRS	GTOP-CL141	6932
SV	SRS	GTOP-CL161	6849
SV	SRS	GTOP-CL171	6459
Total	LRS	GTOP-AJ141	5254464
Total	LRS	GTOP-AJ142	5256464
Total	LRS	GTOP-AJ211	5151362
Total	LRS	GTOP-AJ221	5241940
Total	LRS	GTOP-AJ231	5292050
Total	LRS	GTOP-AK091	5278053
Total	LRS	GTOP-AK092	5302730
Total	LRS	GTOP-AK111	5250494
Total	LRS	GTOP-AK112	5286581
Total	LRS	GTOP-AK221	5295995
Total	LRS	GTOP-AK231	5259921
Total	LRS	GTOP-AK281	5187283
Total	LRS	GTOP-AL091	5293984
Total	LRS	GTOP-AL121	5165979
Total	LRS	GTOP-AL271	5271371
Total	LRS	GTOP-BA041	5269465
Total	LRS	GTOP-BA081	5266377
Total	LRS	GTOP-BA082	5294164
Total	LRS	GTOP-BA091	5281367
Total	LRS	GTOP-BA101	5242391
Total	LRS	GTOP-BA102	5304843
Total	LRS	GTOP-BA131	5280723
Total	LRS	GTOP-BA132	5293927
Total	LRS	GTOP-BA181	5266096
Total	LRS	GTOP-BA191	5312253
Total	LRS	GTOP-BA211	5256951
Total	LRS	GTOP-BA231	5276088
Total	LRS	GTOP-BA232	5191724
Total	LRS	GTOP-BA251	5270071
Total	LRS	GTOP-BB011	5293674
Total	LRS	GTOP-BB201	5275091
Total	LRS	GTOP-BB202	5272610
Total	LRS	GTOP-BB211	5306728
Total	LRS	GTOP-BB251	5286078
Total	LRS	GTOP-BB261	5264611
Total	LRS	GTOP-BC041	5298501
Total	LRS	GTOP-BC061	5184136
Total	LRS	GTOP-BC161	5353288
Total	LRS	GTOP-BC171	5327244
Total	LRS	GTOP-BC181	5275290
Total	LRS	GTOP-BC191	5268791
Total	LRS	GTOP-BD011	5261508
Total	LRS	GTOP-BD201	5289026
Total	LRS	GTOP-BE141	5292975
Total	LRS	GTOP-BE161	5284391
Total	LRS	GTOP-BE181	5259358
Total	LRS	GTOP-BE221	5272044
Total	LRS	GTOP-BF221	5267665
Total	LRS	GTOP-BF251	5213767
Total	LRS	GTOP-BF271	5276784
Total	LRS	GTOP-BG091	5248840
Total	LRS	GTOP-BG171	5285647
Total	LRS	GTOP-BG291	5304199
Total	LRS	GTOP-BG311	5283692
Total	LRS	GTOP-BH071	5269615
Total	LRS	GTOP-BH101	5248959
Total	LRS	GTOP-BH131	5266058
Total	LRS	GTOP-BH171	5234202
Total	LRS	GTOP-BH271	5243173
Total	LRS	GTOP-BI071	5289630
Total	LRS	GTOP-BI281	5282874
Total	LRS	GTOP-BJ111	5249333
Total	LRS	GTOP-BJ131	5288964
Total	LRS	GTOP-BJ141	5283949
Total	LRS	GTOP-BJ171	5265218
Total	LRS	GTOP-BJ191	5326541
Total	LRS	GTOP-BJ201	5264625
Total	LRS	GTOP-BK021	5309712
Total	LRS	GTOP-BK071	5263624
Total	LRS	GTOP-BK161	5284771
Total	LRS	GTOP-BK191	5304933
Total	LRS	GTOP-BK251	5252207
Total	LRS	GTOP-BK261	5289897
Total	LRS	GTOP-BK281	5288703
Total	LRS	GTOP-BL021	5288739
Total	LRS	GTOP-BL091	5293633
Total	LRS	GTOP-BL151	5279810
Total	LRS	GTOP-BL161	5259362
Total	LRS	GTOP-BL221	5218489
Total	LRS	GTOP-BL261	5191470
Total	LRS	GTOP-BL271	5293514
Total	LRS	GTOP-CA031	5250225
Total	LRS	GTOP-CA081	5268930
